service_area,department,department_description,division,link,budget_2022_23,budget_2023_24,budget_2024_25
Human Welfare & Neighborhood Development,Human Services,"Delivers services to support communities including food distribution, children's programs, and a disability community center.",Benefits & Family Support,https://www.sfhsa.org/about/departments/department-benefits-and-family-support-bfs,491192442,528512345,526955039
Human Welfare & Neighborhood Development,Human Services,"Delivers services to support communities including food distribution, children's programs, and a disability community center.",Disability & Aging Services,https://www.sfhsa.org/about/departments/department-disability-and-aging-services-das,483165113,489465420,513883197
Public Protection,Juvenile Probation,"Aims to rehabilitate young offenders by providing supervision, support, and resources.",Children's Baseline,https://sf.gov/departments/juvenile-probation-department,20892,0,0
Public Protection,Juvenile Probation,"Aims to rehabilitate young offenders by providing supervision, support, and resources.",General,https://sf.gov/departments/juvenile-probation-department,21418891,15366945,13467326
Public Protection,Juvenile Probation,"Aims to rehabilitate young offenders by providing supervision, support, and resources.",Juvenile Hall,https://sf.gov/information/juvenile-hall,18083548,18567522,17724675
Public Protection,Juvenile Probation,"Aims to rehabilitate young offenders by providing supervision, support, and resources.",Probation Services,https://sfgov.org/juvprobation/node/123,13011695,9198229,8316608
Public Protection,Juvenile Probation,"Aims to rehabilitate young offenders by providing supervision, support, and resources.",Community Investments,https://sf.gov/departments/juvenile-probation-department,0,5835081,5547093
Culture & Recreation,Law Library,"Provides free access to legal information, to help people protect their rights.",Law Library,https://sf.gov/departments/san-francisco-law-library,2131664,1794860,1851548
Less Interdepartmental Recoveries And Transfers,Less Interdepartmental Recoveries And Transfers,Less Interdepartmental Recoveries And Transfers,Less Interdepartmental Recoveries And Transfers,,-2605627840,-2667357802,-2534256394
General Administration & Finance Departments,Office of the Mayor,The executive branch of San Franciscos government. Has a broad remit for enacting programs and setting policy direction.,Office Of The Mayor,https://sf.gov/departments/office-mayor,10265452,10722635,11035147
Human Welfare & Neighborhood Development,Mayor's Office,The executive branch of San Franciscos government. Has a broad remit for enacting programs and setting policy direction.,Housing & Community Development,https://sf.gov/departments/mayors-office-housing-and-community-development,209785430,190323317,196424667
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Agency-wide,https://www.sfmta.com/,121906815,206478875,135254434
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Board Of Directors,https://www.sfmta.com/units/board-directors,675178,685495,703357
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Capital Programs & Construction,https://www.sfmta.com/units/capital-programs-construction,46132928,68379051,111119535
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Communications,https://www.sfmta.com/units/communications-marketing-division,8345324,8313399,8451913
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Executive Director,https://www.sfmta.com/units/director-transportation,7686570,8909648,9126430
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Finance & Info Tech,https://www.sfmta.com/units/finance-information-technology,121601387,95567302,96163743
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Government Affairs,"https://www.sfmta.com/units/government-affairs#:~:text=The%20Government%20Affairs%20Division%20is,also%20includes%20Regulatory%20Affairs%20responsibilities.",2143042,2282841,2346741
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Human Resources,https://www.sfmta.com/units/human-resources-hr,30964818,31154816,31754582
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Policy & Admin,https://www.sfmta.com/,452437,0,0
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Safety,https://www.sfmta.com/safety-and-security,7558685,7646796,7798535
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Sustainable Streets,https://www.sfmta.com/units/streets-division,220198406,223487303,229903869
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Chief Strategy Office,https://www.sfmta.com/units/chief-strategy-officer,0,26036469,26771695
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Transit Service Division,https://www.sfmta.com/units/transit,783308057,753965600,767839569
"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Aims to make transit and other sustainable modes of travel safe, affordable, and attractive.",Taxi & Accessible Service,https://www.sfmta.com/units/taxis-access-mobility-services,39787917,39852706,39949207
