ID,Department Custodian,Department Name of Data System,Purpose,General description of categories or types of data,Vendor,Product,Frequency Data Collected,Frequency Data Updated,Data Classification - High,Data Classification - Low
AIR-0022-S,Airport,PMBS - Property Management and Billing System (Utility),To track utility consumption for billing purposes.,PMBS is an Airport-wide revenue management system that tracks the full lifecycle of agreements to billing including revenue activities of a wide varieties. PMBS Utility Module records monthly utility consumption by tenants and billing.,GCR Inc.,Oracle and Dot Net,Daily,Daily,Level 2 - Internal Use,Level 1 - Public
AIR-0023-S,Airport,Customer Survey,To collect passenger feedback to the airport,Airport customer survey conducted through ASQ,ASQ,External,Quarterly,Quarterly,Level 1 - Public,Level 1 - Public
AIR-0028-S,Airport,GTMS (Ground Transportation Management System),To manage ground transportation activities.,"This is SFO's second generation system to manage commercial vehicle permits, trips, and billing. GTMS will replace the existing GTU systems",IBI Group,SQL Server,Continuous,Continuous,Level 3 - Sensitive,Level 1 - Public
AIR-0032-S,Airport,Custodial Shift Management System,To manage custodial shifts.,This database stores and manages custodial staff shift rotation and timesheets,Homegrown,MS Access,Daily,Daily,Level 3 - Sensitive,Level 2 - Internal Use
AIR-0035-S,Airport,Shared Ride Vans,To help guests find share rides by provider/time/destination.,The Airport̢����s new shared-ride van permit states that customers will be provided Shared Ride Van Availability (SRV) information on the Display monitor at the lower level information booths. The data is used to track SRV availability ̢��۝ by provider/destination/time.,Homegrown,Oracle,Daily,Daily,Level 1 - Public,Level 1 - Public
AIR-0036-S,Airport,Ground Support Equipment Inspection Program (GSESIP),To record inspection results of ground equipment on the airfield and to issue fines where violations occur.,The goal of the program is to increase overall safety awareness by eliminating preventable accidents and/or injuries related to GSE driving and maintenance. Auto-shop conducts random and scheduled inspections on the GSE's to ensure they meet program̢����s standards. The inspection data is used to generate a scorecard for GSE providers as well as various other reports.,Cloud Solution (www.fieldid.com),"HTML Admin Site (Desktop), iOS Mobile App.",Daily,Daily,Level 3 - Sensitive,Level 3 - Sensitive
AIR-0038-S,Airport,Zendesk,"To track customer feedback and comments, and to coordinate responses from airport and airlines.","SFO customers submit complaints, compliments, questions and suggestions.  SFO staff provide feedback.",Zendesk,Data available through Zendesk core api,Daily,Daily,Level 2 - Internal Use,Level 1 - Public
AIR-0039-S,Airport,Day Permit System,To allow ground transportation companies to apply temporary operating permits at SFO.,"This is a system that allows charter ground operators (Shuttles, vans and buses) to apply for a temporary operating permit at the airport. The system also allows GTU to keep track of operators who have registered in the system and validate the day permits. Simultaneously, the system also governs business rules associated to a Special Event, i.e. Super Bowl. The new version of the system will include automated payments for operators via Authorize.net payment gateway.",Homegrown,Oracle,Daily,Daily,Level 2 - Internal Use,Level 1 - Public
AIR-0040-S,Airport,Job Applicant Tracking System (iCIMS),To provide job fulfillment services to airport tenants,"This is a SaaS application that allows airport tenants to post job announcements, receive applications, and track fulfillment processes. Job seekers can also check the statuses of their applications",iCIMS,SaaS,Continuous,Daily,Level 3 - Sensitive,Level 1 - Public
ART-0001-S,Arts Commission,Filemaker,Tracking system for historical Grants related information,"Most of our grants affiliated data is kept in our Filemaker relational database. It includes: panels, applications, and grant awards, as well as individual contact information",Apple/FileMaker,FileMaker Pro 10,Continuous,Continuous,Level 1 - Public,Level 1 - Public
ART-0002-S,Arts Commission,EmbARK,Management system for agency's art collection,A museum collections management systems that holds the city's civc art collection catalogue,EmbARK,EmbARK,Continuous,Continuous,Level 4 - Protected,Level 1 - Public
ART-0005-S,Arts Commission,Slideroom,Project application system for public art projects,Online program for application tracking for Arts Commissions applicant programs,Slideroom,Slideroom,Monthly,Monthly,,
ART-0010-S,Arts Commission,Constant Contact,"Contact management system for agency newsletter and
event announcements and contact data.","Online program keeps contact data, e-newsletter stats, etc.",Constant Contact,Constant Contact,Continuous,Continuous,,
ART-0014-S,Arts Commission,Next Request,Tracking the agency's public record request,"Captures the request, all communication related to the request and the results fo the result minus any personal information not subjected to sunshine ordinance",NextRequest,Mixed,Continuous,Continuous,Level 4 - Protected,Level 4 - Protected
ASR-0001-S,Assessor-Recorder,AS400,"AS400 contains all of the property information for all 208,000 parcels in San Francisco. This system is used daily by our real estate appraisers to track property characteristics, value, and notes related to each individual parcel.","Contains the property information for all 210,000 parcels in the City & County of San Francisco. Including in database: property characteristics, transaction event date, current & historical property value.",EZ Access (Hamer),IBM DB2,daily,daily,Level 4 - Protected,Level 1 - Public
ASR-0002-S,Assessor-Recorder,CRIIS,CRIIS contains documents recorded with the Office of the Assessor-Recorder and made part of the public record. The documents recorded are related to properties in San Francisco and are made public for access.,"CRIIS stands for Clerk-Recorder Imaging Information System. For the purposes of ASR, this data base provides access to public records for county government.",CRIIS (Southtech),CRIIS,daily,daily,Level 4 - Protected,Level 1 - Public
BOS-0001-S,Board of Supervisors,Legistar,,Clerk of the Board's legislative data,Granicus,COTS,Continuous,Continuous,Level 1 - Public,Level 1 - Public
BOS-0002-S,Board of Supervisors,Insite,,"InSite, or the Legislative Research Center (LRC), is the public access module of the program that makes Legistar data available on the Internet.",Granicus,COTS,Continuous,Continuous,Level 1 - Public,Level 1 - Public
BOS-0004-S,Board of Supervisors,Legislative Archival Files,,"Contains some pre-Legistar, digital archives of Board and Commission meeting information (Journals/Minutes, Ordinances, Resolutions, Motions, Municipal reports, etc.) which is also available on the virtual server provisioned by DT.",BOS,"Scanned Documents, MS Server",Continuous,Continuous,,
BOS-0005-S,Board of Supervisors,Legislative Archival Files,,"Contains legislative archives of Board and Commision meeting information (Agendas, Journals/Minutes, Ordinances, Resolutions, Motions, Municipal reports, etc.) and audio/video media files of meetings",BOS,"Video, MS Server",Continuous,Continuous,,
BOS-0006-S,Board of Supervisors,AAB System,,Assessment Appeals Board (AAB) database of Assessment Appeal Applications and hearing information.,Microsoft,MS SQL Server,Continuous,Continuous,Level 1 - Public,Level 1 - Public
CAT-0001-S,City Attorney,CityLaw Claims Management module,Record Government Code claims filed with the City.,Records Government Code claims filed with the City,Cycom Data Systems,CityLaw,As Needed,As Needed,Level 4 - Protected,Level 1 - Public
CAT-0002-S,City Attorney,CityLaw Collection Management module,Record collection process information to collect costs for damage to City property.,Records collection matters pursued by the City,Cycom Data Systems,CityLaw,As Needed,As Needed,Level 4 - Protected,Level 1 - Public
CAT-0003-S,City Attorney,CityLaw Litigation Management module,Record civil lawsuits filed against the City.,Records lawsuits filed by and against the City,Cycom Data Systems,CityLaw,As Needed,As Needed,Level 5 - Restricted,Level 1 - Public
CFC-0001-S,Children and Families Commission,Contract Management System (CMS),"Cityspan's CMS system enables the department to collect and compile key financial, statistical, and narrative information on funded programs and initiatives.","CMS is a comprehensive, web-based grants management database designed by Cityspan, Inc. The system houses several types of data related to our funded programs and the services they administer. Programs enter details on their overall budget and monthly expenditures as well as details related to their funded scope of work, inlcuding performance targets which are tracked and reported on quarterly. For a large portion of our funded programs, the system also collects data on services and activities, participants and activity attendance.",CitySpan,MS SQL Server,Continuous,Continuous,Level 3 - Sensitive,Level 1 - Public
CFC-0003-S,Children and Families Commission,Web-based Early Learning System (WELS),WELS is designed to support quality rating and improvement work for early childhood education centers and other educational settings.,"WELS is a cloud-based computing system that allows import and export of data from multiple sources. It holds and organizes multiple early care and education site level data components, such as teacher education and credentials, staff training and professional development experiences, classroom environmental assessments, classroom instructional assessments, adult/child ratios, curricula information, and family engagement activities. Information is then utilized to generate quality rating scores, site work plans, and quality improvement statistics.",Blue Jean Ware,WELS,Continuous,Continuous,Level 4 - Protected,Level 1 - Public
CHF-0001-S,"Children, Youth & Their Families",Contract Management System (CMS),"System for managing grantee workplans, invoices, and program activity data.",Data submitted by DCYF grantees,CitySpan,Web Application,Continuous,Continuous,Level 4 - Protected,Level 1 - Public
CHF-0002-S,"Children, Youth & Their Families",Youth survey data,"Youth survey data is collected from youth participants attending DCYF-funded activities. Data collected includes participant rankings of quality and service from programmatic domains such as Youth Development, Promoting Diversity Equity and Inclusion, Program Environment and Safety, Linkages with teh School Day, and Intentional Skill Building. Demographic details about the youth are also collected through the survey.",Data collected via annual youth survey,Microsoft/SurveyMonkey,MS Excel,Yearly,Yearly,Level 4 - Protected,Level 4 - Protected
CII-0001-S,Community Investment and Infrastructure,Resolution Index database,Commission and Oversight Board approval for action to be conducted,"Commissions and Oversight Board's metings data: Agenda, Minute, Memo and Resolution. Year:1948-Current. Size: 15,788 records",Microsoft,MS SQL Server,As Needed,As Needed,Level 1 - Public,Level 1 - Public
CII-0002-S,Community Investment and Infrastructure,Forward Calendar,Tentative items to be presented before Commission and Oversigth Board,Incoming Commissions and Oversight Board meeting items. Year: 2000-Current,Microsoft,MS Access,As Needed,As Needed,Level 1 - Public,Level 1 - Public
CII-0003-S,Community Investment and Infrastructure,Correspondence Log database,Incoming & Outgoing Correspondence,"Agency's correspondences. Year: 1973-Current. Size:118,523 records",Microsoft,MS SQL Server,As Needed,As Needed,Level 1 - Public,Level 1 - Public
CII-0004-S,Community Investment and Infrastructure,Document Tracking and Contract database,Documents to be prepared for contracts,Agency's contracts,Microsoft,MS Access,As Needed,As Needed,Level 1 - Public,Level 1 - Public
CII-0005-S,Community Investment and Infrastructure,Account Payable database,Payment records,Agency's transaction checks and wires. Year: 2004-Current,Microsoft,MS Access,As Needed,As Needed,Level 1 - Public,Level 1 - Public
CII-0006-S,Community Investment and Infrastructure,Bond database,Resource Funds issued thru bonds,"Agency's issued bonds. Year: 2004-Current, older year in the processed.",Microsoft,MS Access,As Needed,As Needed,Level 1 - Public,Level 1 - Public
CON-0001-S,Controller,Financial Reporting (EIS),Financial reporting system,Significant portions of the data in the City's FAMIS accounting and purchasing system are transformed and loaded nightly to an Oracle database and used as the source for an IBM/Cognos reporting system. This system is used for legacy (FY2017 and prior) financial reporting.,Multiple,Oracle Database 11g; Informatica 9.1; IBM/Cognos 10.2,Not updated (historical only),Not updated (historical only),Level 3 - Sensitive,Level 1 - Public
